
          start         end            datetime     pair     open     high      low    close  volume  confirm         timestamp           EMA        RSI        ADX  signal
191  1641482400  1641482460 2022-01-06 23:20:00  BTCUSDT  42750.5  42799.5  42750.0  42780.0  37.697     True                 0  42839.520027  43.629310  42.437126       0
192  1641482460  1641482520 2022-01-06 23:21:00  BTCUSDT  42780.0  42830.0  42768.0  42768.0  20.194     True                 0  42836.031246  33.689239  32.424882       0
193  1641482520  1641482580 2022-01-06 23:22:00  BTCUSDT  42768.0  42800.0  42725.0  42783.0  25.330     True                 0  42833.444356  57.752418  32.981955       0
194  1641482580  1641482640 2022-01-06 23:23:00  BTCUSDT  42783.0  42830.0  42783.0  42819.0  17.285     True                 0  42832.739753  84.591566  24.126925       0
195  1641482640  1641482700 2022-01-06 23:24:00  BTCUSDT  42819.0  42860.0  42793.5  42860.0  54.865     True                 0  42834.069521  93.703216  27.951638       0
196  1641482700  1641482760 2022-01-06 23:25:00  BTCUSDT  42860.0  42896.0  42859.5  42896.0  54.647     True                 0  42837.090520  96.911000  38.219075       0
197  1641482760  1641482820 2022-01-06 23:26:00  BTCUSDT  42896.0  42916.0  42895.5  42910.0  47.977     True                 0  42840.647080  97.787606  48.233570       0
198  1641482820  1641482880 2022-01-06 23:27:00  BTCUSDT  42910.0  42910.0  42866.5  42885.5  25.021     True                 0  42842.835027  49.059609  36.178917       0
199  1641482880  1641482940 2022-01-06 23:28:00  BTCUSDT  42885.5  42886.0  42820.0  42849.5  29.073     True                 0  42843.160148  19.907285  36.736168       1
200  1641482940  1641483000 2022-01-06 23:29:00  BTCUSDT  42849.5  42875.0  42849.0  42874.5   2.339    False  1641482952814060  42844.688921  56.121011  37.107668       0
Last valid signal offset: 0

          start         end            datetime     pair     open     high      low    close  volume  confirm         timestamp           EMA        RSI        ADX  signal
191  1641482400  1641482460 2022-01-06 23:20:00  BTCUSDT  42750.5  42799.5  42750.0  42780.0  37.697     True                 0  42839.520027  43.629310  42.437126       0
192  1641482460  1641482520 2022-01-06 23:21:00  BTCUSDT  42780.0  42830.0  42768.0  42768.0  20.194     True                 0  42836.031246  33.689239  32.424882       0
193  1641482520  1641482580 2022-01-06 23:22:00  BTCUSDT  42768.0  42800.0  42725.0  42783.0  25.330     True                 0  42833.444356  57.752418  32.981955       0
194  1641482580  1641482640 2022-01-06 23:23:00  BTCUSDT  42783.0  42830.0  42783.0  42819.0  17.285     True                 0  42832.739753  84.591566  24.126925       0
195  1641482640  1641482700 2022-01-06 23:24:00  BTCUSDT  42819.0  42860.0  42793.5  42860.0  54.865     True                 0  42834.069521  93.703216  27.951638       0
196  1641482700  1641482760 2022-01-06 23:25:00  BTCUSDT  42860.0  42896.0  42859.5  42896.0  54.647     True                 0  42837.090520  96.911000  38.219075       0
197  1641482760  1641482820 2022-01-06 23:26:00  BTCUSDT  42896.0  42916.0  42895.5  42910.0  47.977     True                 0  42840.647080  97.787606  48.233570       0
198  1641482820  1641482880 2022-01-06 23:27:00  BTCUSDT  42910.0  42910.0  42866.5  42885.5  25.021     True                 0  42842.835027  49.059609  36.178917       0
199  1641482880  1641482940 2022-01-06 23:28:00  BTCUSDT  42885.5  42886.0  42820.0  42849.5  29.073     True                 0  42843.160148  19.907285  36.736168       1
200  1641482940  1641483000 2022-01-06 23:29:00  BTCUSDT  42849.5  42875.0  42849.0  42875.0   2.345    False  1641482953814272  42844.713311  56.514251  37.107668       0
Last valid signal offset: 0

          start         end            datetime     pair     open     high      low    close  volume  confirm         timestamp           EMA        RSI        ADX  signal
191  1641482400  1641482460 2022-01-06 23:20:00  BTCUSDT  42750.5  42799.5  42750.0  42780.0  37.697     True                 0  42839.520027  43.629310  42.437126       0
